,sigma,optimizer,seed,r
334,1.0,rmsprop,68,0.9534839112648248
335,1.0,cobyla,68,0.9341281300062081
336,1.0,rmsprop,69,1.0
337,1.0,cobyla,69,0.823094763714119
338,1.0,rmsprop,70,1.0
339,1.0,cobyla,70,0.8359428382476363
340,1.0,rmsprop,71,1.0
341,1.0,cobyla,71,1.0
342,1.0,rmsprop,72,1.0
343,1.0,cobyla,72,1.0
344,1.0,rmsprop,73,1.0
345,1.0,cobyla,73,0.8687754258459149
346,1.0,rmsprop,74,1.0
347,1.0,cobyla,74,1.0
348,1.0,rmsprop,75,1.0
349,1.0,cobyla,75,0.9592803427441919
350,1.0,rmsprop,76,1.0
351,1.0,cobyla,76,1.0
352,1.0,rmsprop,77,1.0
353,1.0,cobyla,77,1.0
354,1.0,rmsprop,78,1.0
355,1.0,cobyla,78,0.9483341606805685
356,1.0,rmsprop,79,1.0
357,1.0,cobyla,79,0.8235290505455646
358,1.0,rmsprop,80,1.0
359,1.0,cobyla,80,1.0
360,1.0,rmsprop,81,1.0
361,1.0,cobyla,81,1.0
362,1.0,rmsprop,82,1.0
363,1.0,cobyla,82,1.0
364,1.0,rmsprop,83,1.0
365,1.0,cobyla,83,0.9663757962201063
366,1.0,rmsprop,84,1.0
367,1.0,cobyla,84,0.9819405139911492
368,1.0,rmsprop,85,1.0
369,1.0,cobyla,85,0.9189017906849789
370,1.0,rmsprop,86,1.0
371,1.0,cobyla,86,1.0
372,1.0,rmsprop,87,1.0
373,1.0,cobyla,87,1.0
374,1.0,rmsprop,88,1.0
375,1.0,cobyla,88,0.8265708021533763
376,1.0,rmsprop,89,0.9962127597819426
377,1.0,cobyla,89,1.0
378,1.0,rmsprop,90,1.0
379,1.0,cobyla,90,0.8570078048220766
380,1.0,rmsprop,91,1.0
381,1.0,cobyla,91,0.9312970892467277
382,1.0,rmsprop,92,1.0
383,1.0,cobyla,92,0.860783929502762
384,1.0,rmsprop,93,1.0
385,1.0,cobyla,93,0.9871067954885557
386,1.0,rmsprop,94,1.0
387,1.0,cobyla,94,1.0
388,1.0,rmsprop,95,1.0
389,1.0,cobyla,95,0.6361716319733607
390,1.0,rmsprop,96,1.0
391,1.0,cobyla,96,1.0
392,1.0,rmsprop,97,1.0
393,1.0,cobyla,97,1.0
394,1.0,rmsprop,98,1.0
395,1.0,cobyla,98,1.0
396,1.0,rmsprop,99,1.0
397,1.0,cobyla,99,0.9364902086647721
398,1.0,rmsprop,100,1.0
399,1.0,cobyla,100,1.0
400,10.0,rmsprop,1,1.0
401,10.0,cobyla,1,1.0
402,10.0,rmsprop,2,1.0
403,10.0,cobyla,2,0.8397349212432191
404,10.0,rmsprop,3,1.0
405,10.0,cobyla,3,1.0
