,sigma,optimizer,seed,r
452,1.0,newton-cg,9,1.0
453,1.0,cobyla,9,1.0
454,1.0,nelder-mead,9,1.0
455,1.0,rmsprop,10,0.9676315318403419
456,1.0,newton-cg,10,1.0
457,1.0,cobyla,10,0.9676315318403419
458,1.0,nelder-mead,10,0.9676315318403419
459,1.0,rmsprop,11,0.6721956339668407
460,1.0,newton-cg,11,0.9058072951215832
461,1.0,cobyla,11,1.0
462,1.0,nelder-mead,11,1.0
463,1.0,rmsprop,12,0.7733700907448733
464,1.0,newton-cg,12,0.8918247828488979
465,1.0,cobyla,12,1.0
466,1.0,nelder-mead,12,0.8918247828488979
467,1.0,rmsprop,13,0.7687691528904808
468,1.0,newton-cg,13,0.8914670412672663
469,1.0,cobyla,13,0.8914670412672663
470,1.0,nelder-mead,13,0.7326141209197846
471,1.0,rmsprop,14,0.8244968969236867
472,1.0,newton-cg,14,0.8244968969236867
473,1.0,cobyla,14,1.0
474,1.0,nelder-mead,14,0.8244968969236867
475,1.0,rmsprop,15,0.8797114905400786
476,1.0,newton-cg,15,0.8264226236998957
477,1.0,cobyla,15,1.0
478,1.0,nelder-mead,15,0.8797114905400786
479,1.0,rmsprop,16,0.8458636492505924
480,1.0,newton-cg,16,0.7988051277762069
481,1.0,cobyla,16,1.0
482,1.0,nelder-mead,16,0.8458636492505924
483,1.0,rmsprop,17,0.7958029602900671
484,1.0,newton-cg,17,0.675698987881153
485,1.0,cobyla,17,0.9253876913701429
486,1.0,nelder-mead,17,0.7958029602900671
487,1.0,rmsprop,18,0.5517413942161876
488,1.0,newton-cg,18,0.5761856971117526
489,1.0,cobyla,18,0.8401106707906432
490,1.0,nelder-mead,18,1.0
491,1.0,rmsprop,19,0.8112460091171411
492,1.0,newton-cg,19,0.9301611030528357
493,1.0,cobyla,19,1.0
494,1.0,nelder-mead,19,0.8112460091171411
495,1.0,rmsprop,20,0.7038771473603799
496,1.0,newton-cg,20,0.7038771473603799
497,1.0,cobyla,20,0.9800332844325219
498,1.0,nelder-mead,20,0.7038771473603799
499,1.0,rmsprop,21,1.0
500,1.0,newton-cg,21,0.9691581598694498
501,1.0,cobyla,21,1.0
502,1.0,nelder-mead,21,1.0
503,1.0,rmsprop,22,0.9983406679964503
504,1.0,newton-cg,22,1.0
505,1.0,cobyla,22,0.9230480517596976
506,1.0,nelder-mead,22,0.9983406679964503
507,1.0,rmsprop,23,0.8048426696252929
508,1.0,newton-cg,23,0.9637427544173084
509,1.0,cobyla,23,0.9637427544173084
510,1.0,nelder-mead,23,0.9637427544173084
511,1.0,rmsprop,24,1.0
512,1.0,newton-cg,24,0.8414017021589588
513,1.0,cobyla,24,0.8657584834804084
514,1.0,nelder-mead,24,0.8879453460634321
515,1.0,rmsprop,25,0.6347581786592951
516,1.0,newton-cg,25,0.9376044131441656
517,1.0,cobyla,25,0.857169876012013
518,1.0,nelder-mead,25,0.4281255062949935
519,1.0,rmsprop,26,0.6858880385971557
520,1.0,newton-cg,26,0.6858880385971557
521,1.0,cobyla,26,1.0
522,1.0,nelder-mead,26,0.6858880385971557
523,1.0,rmsprop,27,1.0
524,1.0,newton-cg,27,1.0
525,1.0,cobyla,27,0.8708960153156945
526,1.0,nelder-mead,27,1.0
527,1.0,rmsprop,28,0.8108961641630494
528,1.0,newton-cg,28,0.8108961641630494
529,1.0,cobyla,28,0.9902316952785133
530,1.0,nelder-mead,28,0.8108961641630494
531,1.0,rmsprop,29,0.7077976241804064
532,1.0,newton-cg,29,0.7077976241804064
533,1.0,cobyla,29,0.7878238424687384
534,1.0,nelder-mead,29,0.6112353034781204
535,1.0,rmsprop,30,1.0
536,1.0,newton-cg,30,0.8756488914839801
537,1.0,cobyla,30,1.0
538,1.0,nelder-mead,30,1.0
539,1.0,rmsprop,31,1.0
540,1.0,newton-cg,31,0.8673172984269294
541,1.0,cobyla,31,1.0
542,1.0,nelder-mead,31,0.8673172984269294
543,1.0,rmsprop,32,1.0
544,1.0,newton-cg,32,0.9933173909346221
545,1.0,cobyla,32,0.7901046408278394
546,1.0,nelder-mead,32,0.9933173909346221
547,1.0,rmsprop,33,0.6613231350072698
548,1.0,newton-cg,33,1.0
549,1.0,cobyla,33,0.8694546700184209
550,1.0,nelder-mead,33,0.6613231350072698
551,1.0,rmsprop,34,0.780236420564463
552,1.0,newton-cg,34,0.780236420564463
553,1.0,cobyla,34,0.8843404249946933
554,1.0,nelder-mead,34,0.780236420564463
555,1.0,rmsprop,35,0.9656534211462364
556,1.0,newton-cg,35,0.9656534211462364
557,1.0,cobyla,35,0.9656534211462364
558,1.0,nelder-mead,35,0.9656534211462364
559,1.0,rmsprop,36,0.9485812916702379
560,1.0,newton-cg,36,0.9485812916702379
561,1.0,cobyla,36,0.9485812916702379
562,1.0,nelder-mead,36,0.9485812916702379
563,1.0,rmsprop,37,0.7709715629722352
564,1.0,newton-cg,37,0.739497532623289
565,1.0,cobyla,37,1.0
566,1.0,nelder-mead,37,0.8120416555480147
567,1.0,rmsprop,38,0.8742872609553423
568,1.0,newton-cg,38,0.8742872609553423
569,1.0,cobyla,38,1.0
570,1.0,nelder-mead,38,0.5469546401607679
571,1.0,rmsprop,39,0.7426858764431588
572,1.0,newton-cg,39,0.7426858764431588
573,1.0,cobyla,39,0.7426858764431588
574,1.0,nelder-mead,39,1.0
575,1.0,rmsprop,40,0.8888462899152803
576,1.0,newton-cg,40,0.8888462899152803
577,1.0,cobyla,40,1.0
578,1.0,nelder-mead,40,1.0
579,1.0,rmsprop,41,1.0
580,1.0,newton-cg,41,0.6561559913371076
581,1.0,cobyla,41,0.8073648939683838
582,1.0,nelder-mead,41,0.9407331755286912
583,1.0,rmsprop,42,0.8458965642920803
584,1.0,newton-cg,42,0.7347187995249598
585,1.0,cobyla,42,0.7442698915383658
586,1.0,nelder-mead,42,0.8458965642920803
587,1.0,rmsprop,43,0.8232366219971181
588,1.0,newton-cg,43,0.8891003948332971
589,1.0,cobyla,43,1.0
590,1.0,nelder-mead,43,0.7825569240799862
591,1.0,rmsprop,44,0.8128432431435095
592,1.0,newton-cg,44,1.0
593,1.0,cobyla,44,0.9079350164593811
594,1.0,nelder-mead,44,0.8128432431435095
595,1.0,rmsprop,45,0.6539805568638729
596,1.0,newton-cg,45,0.80529885410012
597,1.0,cobyla,45,0.8560920360274993
598,1.0,nelder-mead,45,0.6539805568638729
599,1.0,rmsprop,46,0.542081233853556
600,1.0,newton-cg,46,0.9656514836048673
601,1.0,cobyla,46,1.0
602,1.0,nelder-mead,46,0.542081233853556
603,1.0,rmsprop,47,1.0
604,1.0,newton-cg,47,1.0
605,1.0,cobyla,47,0.883457846312393
606,1.0,nelder-mead,47,0.6159739682433553
607,1.0,rmsprop,48,0.8534167270082357
608,1.0,newton-cg,48,0.8534167270082357
609,1.0,cobyla,48,0.9413548158249443
610,1.0,nelder-mead,48,0.7604800676403816
611,1.0,rmsprop,49,0.5050107841126754
612,1.0,newton-cg,49,0.8582632752243076
613,1.0,cobyla,49,1.0
614,1.0,nelder-mead,49,0.8582632752243076
615,1.0,rmsprop,50,1.0
616,1.0,newton-cg,50,0.937163997984613
617,1.0,cobyla,50,0.8559986425461866
618,1.0,nelder-mead,50,0.937163997984613
619,1.0,rmsprop,51,0.8001750243590421
620,1.0,newton-cg,51,1.0
621,1.0,cobyla,51,1.0
622,1.0,nelder-mead,51,0.8001750243590421
623,1.0,rmsprop,52,0.9294084537106411
624,1.0,newton-cg,52,0.8188781309157178
625,1.0,cobyla,52,0.8214056411443516
626,1.0,nelder-mead,52,0.9294084537106411
627,1.0,rmsprop,53,0.7106674842419477
628,1.0,newton-cg,53,1.0
629,1.0,cobyla,53,0.9042669927918761
630,1.0,nelder-mead,53,0.7106674842419477
631,1.0,rmsprop,54,0.8241736354350976
632,1.0,newton-cg,54,0.8241736354350976
633,1.0,cobyla,54,1.0
634,1.0,nelder-mead,54,0.8241736354350976
635,1.0,rmsprop,55,1.0
636,1.0,newton-cg,55,1.0
637,1.0,cobyla,55,0.9118217848092465
638,1.0,nelder-mead,55,1.0
639,1.0,rmsprop,56,1.0
640,1.0,newton-cg,56,0.6871618746951584
641,1.0,cobyla,56,0.9791867996913209
642,1.0,nelder-mead,56,0.6412158540897239
643,1.0,rmsprop,57,0.5611873309250535
644,1.0,newton-cg,57,1.0
645,1.0,cobyla,57,1.0
646,1.0,nelder-mead,57,0.7936914576471907
647,1.0,rmsprop,58,0.5643344239373211
648,1.0,newton-cg,58,0.5643344239373211
649,1.0,cobyla,58,1.0
650,1.0,nelder-mead,58,0.5643344239373211
651,1.0,rmsprop,59,0.7247963219386361
